index;flow_meter1;flow_meter2;flow_meter3;flow_meter4
2010-03-01 15:00:00;33.797;35.453;100.26;30.094
2010-03-01 16:00:00;32.153;33.17;93.397;27.855999999999998
2010-03-01 17:00:00;31.654;32.501999999999995;91.115;27.255
2010-03-01 18:00:00;29.935;29.406;83.90700000000001;24.893
2010-03-01 19:00:00;31.288;31.246;90.396;25.982
2010-03-01 20:00:00;33.849000000000004;34.097;101.6;28.3
2010-03-01 21:00:00;32.438;32.45;94.978;27.178
2010-03-01 22:00:00;27.739;26.518;73.108;23.125999999999998
2010-03-01 23:00:00;24.69;22.706999999999997;58.263999999999996;20.394000000000002
2010-03-02 00:00:00;21.569000000000003;18.136;42.185;17.391
2010-03-02 01:00:00;19.727;15.149000000000001;30.581999999999997;15.466
2010-03-02 02:00:00;19.23;14.373;27.174;14.902999999999999
2010-03-02 03:00:00;18.73;13.536;23.343000000000004;14.433
2010-03-02 04:00:00;19.067;14.047;25.629;14.738
2010-03-02 05:00:00;19.805999999999997;15.299000000000001;30.761;15.525
2010-03-02 06:00:00;23.586;21.296;54.16;19.543
2010-03-02 07:00:00;32.404;33.695;95.84200000000001;28.176
2010-03-02 08:00:00;38.723;41.739;123.95;34.5
2010-03-02 09:00:00;41.346000000000004;44.57899999999999;132.3;36.382
2010-03-02 10:00:00;39.213;41.618;123.45;34.484
2010-03-02 11:00:00;35.931999999999995;38.842;112.57;31.693
2010-03-02 12:00:00;34.548;36.080999999999996;104.53;29.679000000000002
2010-03-02 13:00:00;32.788000000000004;33.727;98.50399999999999;29.566999999999997
2010-03-02 14:00:00;35.150999999999996;37.666;106.48;29.531
2010-03-02 15:00:00;34.12;35.7;102.36;29.485
2010-03-02 16:00:00;33.584;34.466;98.66799999999999;28.875
2010-03-02 17:00:00;31.968000000000004;32.804;92.965;27.391
2010-03-02 18:00:00;28.732;28.215;77.98100000000001;24.046
2010-03-02 19:00:00;32.235;32.521;90.185;26.565
2010-03-02 20:00:00;34.083;34.648;98.396;28.649
2010-03-02 21:00:00;32.668;33.967;94.96799999999999;27.916999999999998
2010-03-02 22:00:00;27.1;26.42;71.715;23.226999999999997
2010-03-02 23:00:00;24.878;22.956999999999997;59.663999999999994;20.612
2010-03-03 00:00:00;21.604;18.21;41.913999999999994;17.442
2010-03-03 01:00:00;19.684;15.107000000000001;29.891;15.421
2010-03-03 02:00:00;19.244;14.394;26.915;14.975999999999999
2010-03-03 03:00:00;18.659000000000002;13.523;23.57;14.38
2010-03-03 04:00:00;19.096;14.040999999999999;25.565;14.696
2010-03-03 05:00:00;19.687;15.192;30.642;15.482999999999999
2010-03-03 06:00:00;23.579;21.159000000000002;53.361000000000004;19.313
2010-03-03 07:00:00;32.650999999999996;33.409;95.56200000000001;27.863000000000003
2010-03-03 08:00:00;40.084;43.244;127.51;35.367
2010-03-03 09:00:00;42.376999999999995;45.867;136.11;37.214
2010-03-03 10:00:00;40.28;43.416000000000004;127.16;35.105
2010-03-03 11:00:00;36.77;39.109;114.23;31.945999999999998
2010-03-03 12:00:00;34.621;35.961;105.09;29.964000000000002
2010-03-03 13:00:00;33.417;34.607;100.19;28.651999999999997
2010-03-03 14:00:00;35.635;37.786;108.42;31.353
2010-03-03 15:00:00;34.253;36.161;106.73;30.43
2010-03-03 16:00:00;32.293;33.55;95.073;28.08
2010-03-03 17:00:00;31.823;32.169000000000004;91.226;27.273000000000003
2010-03-03 18:00:00;29.145;29.160999999999998;80.59899999999999;24.919
2010-03-03 19:00:00;30.701;30.480999999999998;85.889;25.648000000000003
2010-03-03 20:00:00;33.4;33.677;96.12200000000001;27.982
2010-03-03 21:00:00;31.595;32.146;90.38600000000001;26.815
2010-03-03 22:00:00;27.624000000000002;26.759;73.257;23.092
