index;flow_meter1;flow_meter2;flow_meter3;flow_meter4
2010-01-01 00:00:00;25.801;35.123000000000005;60.733000000000004;22.416
2010-01-01 01:00:00;20.202;24.287;30.706;16.637999999999998
2010-01-01 02:00:00;19.089000000000002;19.961;26.328000000000003;16.15
2010-01-01 03:00:00;18.792;19.735;22.316;15.507
2010-01-01 04:00:00;18.468;15.459000000000001;24.904;15.841
2010-01-01 05:00:00;19.316;16.820999999999998;31.239;16.698
2010-01-01 06:00:00;24.083000000000002;23.835;58.556000000000004;21.638
2010-01-01 07:00:00;35.968;39.105;110.98;32.235
2010-01-01 08:00:00;45.269;50.656000000000006;150.16;41.07
2010-01-01 09:00:00;46.906000000000006;53.585;158.14;43.553999999999995
2010-01-01 10:00:00;44.496;50.302;148.76;41.068999999999996
2010-01-01 11:00:00;40.293;44.823;129.39;36.472
2010-01-01 12:00:00;37.936;41.86600000000001;120.65;34.469
2010-01-01 13:00:00;35.985;39.101;112.93;32.604
2010-01-01 14:00:00;37.768;41.285;128.62;35.306999999999995
2010-01-01 15:00:00;35.384;38.391;115.8;33.428000000000004
2010-01-01 16:00:00;33.325;36.251999999999995;107.34;31.666
2010-01-01 17:00:00;33.365;36.575;104.36;30.85
2010-01-01 18:00:00;33.458;36.298;93.92200000000001;28.851
2010-01-01 19:00:00;34.927;39.17;100.03;30.883000000000003
2010-01-01 20:00:00;38.281;43.176;111.21;32.865
2010-01-01 21:00:00;36.117;40.213;105.7;31.538
2010-01-01 22:00:00;29.248;31.02;82.179;26.156999999999996
2010-01-01 23:00:00;25.171;25.392;64.681;22.495
2010-01-02 00:00:00;21.449;19.85;43.708999999999996;18.68
2010-01-02 01:00:00;19.095;16.197;28.875;16.429000000000002
2010-01-02 02:00:00;18.427;15.306;24.684;15.911
2010-01-02 03:00:00;17.854;14.264000000000001;20.04;15.132
2010-01-02 04:00:00;18.267;14.888;22.776;15.495
2010-01-02 05:00:00;19.083;16.272000000000002;28.945;16.386
2010-01-02 06:00:00;23.983;23.570999999999998;57.667;21.109
2010-01-02 07:00:00;35.626;39.381;109.78;32.295
2010-01-02 08:00:00;41.861000000000004;46.341;144.81;39.465
2010-01-02 09:00:00;46.2;51.196000000000005;157.62;42.26
2010-01-02 10:00:00;42.693999999999996;47.551;146.49;39.968
2010-01-02 11:00:00;40.529;45.69;131.18;37.039
2010-01-02 12:00:00;38.033;42.556999999999995;121.37;34.745
2010-01-02 13:00:00;38.411;44.576;115.83;34.298
2010-01-02 14:00:00;44.253;50.391999999999996;139.8;39.455
2010-01-02 15:00:00;40.948;46.855;127.03;36.973
2010-01-02 16:00:00;35.71;38.976;111.5;32.799
2010-01-02 17:00:00;34.211;37.861999999999995;105.64;31.359
2010-01-02 18:00:00;30.461;32.093;87.649;27.199
2010-01-02 19:00:00;31.029;33.166;92.456;28.644000000000002
2010-01-02 20:00:00;34.015;36.497;102.05;30.421999999999997
2010-01-02 21:00:00;32.708;35.083;96.95299999999999;29.218000000000004
2010-01-02 22:00:00;28.791999999999998;30.076;80.517;25.616
2010-01-02 23:00:00;25.07;25.369;64.454;22.688000000000002
