index;flow_meter1;flow_meter2;flow_meter3;flow_meter4
2010-01-01 00:00:00;24.537;30.660999999999998;56.823;20.311
2010-01-01 01:00:00;19.586;20.351;30.476999999999997;15.562000000000001
2010-01-01 02:00:00;18.36;16.778;23.842;14.53
2010-01-01 03:00:00;17.922;13.470999999999998;23.531;14.49
2010-01-01 04:00:00;17.947;13.495;23.721999999999998;14.513
2010-01-01 05:00:00;18.214000000000002;13.929;25.631;14.793
2010-01-01 06:00:00;22.101;20.018;49.467;18.78
2010-01-01 07:00:00;33.2;35.177;101.36;29.456
2010-01-01 08:00:00;40.925;45.211000000000006;134.55;36.843
2010-01-01 09:00:00;37.632;40.648;118.92;33.607
2010-01-01 10:00:00;41.17100000000001;45.325;134.37;37.028
2010-01-01 11:00:00;35.47;38.064;110.97;31.65
2010-01-01 12:00:00;34.613;36.971;107.36;30.837
2010-01-01 13:00:00;32.738;35.135;99.25399999999999;29.455
2010-01-01 14:00:00;32.905;35.22;98.171;29.603
2010-01-01 15:00:00;34.419000000000004;36.977;103.38;30.92
2010-01-01 16:00:00;31.011999999999997;32.258;91.90700000000001;27.393
2010-01-01 17:00:00;34.078;36.312;105.09;30.315
2010-01-01 18:00:00;28.694000000000003;29.215999999999998;81.574;25.191999999999997
2010-01-01 19:00:00;28.863000000000003;29.06;83.78399999999999;25.045
2010-01-01 20:00:00;29.125;29.194000000000003;85.084;25.144000000000002
2010-01-01 21:00:00;30.430999999999997;31.15;91.546;26.502
2010-01-01 22:00:00;26.595;26.374000000000002;71.907;23.176
2010-01-01 23:00:00;22.561;20.662;51.906000000000006;19.248
2010-01-02 00:00:00;22.076;20.023;49.3;18.775
2010-01-02 01:00:00;18.882;15.08;30.142;15.472999999999999
2010-01-02 02:00:00;18.744;14.880999999999998;29.203000000000003;15.325999999999999
2010-01-02 03:00:00;17.489;12.689;20.406;14.024000000000001
2010-01-02 04:00:00;18.514;14.489;27.714000000000002;15.126
2010-01-02 05:00:00;18.282;14.057;26.048000000000002;14.833
2010-01-02 06:00:00;22.06;19.980999999999998;49.143;18.671
2010-01-02 07:00:00;32.985;34.95;100.24;29.101999999999997
2010-01-02 08:00:00;39.629;43.465;127.84;35.329
2010-01-02 09:00:00;34.015;36.195;104.66;30.09
2010-01-02 10:00:00;36.029;38.828;113.07;31.976
2010-01-02 11:00:00;37.836;41.187;120.53;33.681
2010-01-02 12:00:00;38.395;41.928999999999995;122.78;34.198
2010-01-02 13:00:00;34.019;36.269;104.64;30.121
2010-01-02 14:00:00;34.965;37.882;107.15;29.88
2010-01-02 15:00:00;35.556;38.663000000000004;109.64;30.447
2010-01-02 16:00:00;29.414;30.371;83.919;25.186999999999998
2010-01-02 17:00:00;31.793000000000003;33.431;94.866;27.808000000000003
2010-01-02 18:00:00;26.017;25.250999999999998;70.252;23.366999999999997
2010-01-02 19:00:00;29.194000000000003;29.38;85.61399999999999;26.980999999999998
2010-01-02 20:00:00;31.092;31.862;94.148;28.908
2010-01-02 21:00:00;31.909000000000002;33.016;97.47;29.535
2010-01-02 22:00:00;26.033;25.517;69.514;22.839000000000002
2010-01-02 23:00:00;25.046;24.296999999999997;64.298;21.56
2010-01-03 00:00:00;20.491999999999997;17.596;40.374;17.18
2010-01-03 01:00:00;19.034000000000002;15.32;30.995;15.681
2010-01-03 02:00:00;18.47;14.395;27.17;15.081
2010-01-03 03:00:00;17.32;12.380999999999998;19.160999999999998;13.841
2010-01-03 04:00:00;18.072;13.717;24.614;14.648
2010-01-03 05:00:00;18.785;14.911;29.36;15.41
2010-01-03 06:00:00;21.930999999999997;19.762;48.229;18.62
2010-01-03 07:00:00;32.179;33.833;96.41;28.504
2010-01-03 08:00:00;33.122;34.211999999999996;106.47;30.191
2010-01-03 09:00:00;41.052;44.695;137.34;37.063
2010-01-03 10:00:00;39.235;42.016000000000005;131.31;36.407
2010-01-03 11:00:00;36.208;39.037;113.33;32.389
2010-01-03 12:00:00;39.171;42.858999999999995;125.38;35.187
2010-01-03 13:00:00;35.274;38.763000000000005;102.17;30.494
2010-01-03 14:00:00;36.948;40.631;107.11;32.576
2010-01-03 15:00:00;33.139;35.595;92.206;28.949
2010-01-03 16:00:00;32.073;33.644;93.352;28.511999999999997
2010-01-03 17:00:00;28.855;29.379;81.155;25.37
2010-01-03 18:00:00;30.636999999999997;31.828000000000003;94.28200000000001;26.896
2010-01-03 19:00:00;28.514;28.963;85.992;24.823
2010-01-03 20:00:00;32.214;33.874;103.1;28.31
2010-01-03 21:00:00;34.785;37.245;113.65;30.765
2010-01-03 22:00:00;28.151;28.5;80.072;24.649
2010-01-03 23:00:00;23.93;22.648000000000003;58.431999999999995;20.616
2010-01-04 00:00:00;21.495;19.143;46.111999999999995;18.197
2010-01-04 01:00:00;18.726;14.804;29.162;15.349
2010-01-04 02:00:00;18.489;14.43;27.541999999999998;15.097999999999999
2010-01-04 03:00:00;17.757;13.173;22.35;14.312000000000001
2010-01-04 04:00:00;17.813;13.255;22.76;14.368
2010-01-04 05:00:00;18.95;15.192;30.689;15.583
2010-01-04 06:00:00;23.529;22.118000000000002;56.935;20.189
2010-01-04 07:00:00;31.237;32.588;92.89200000000001;27.588
2010-01-04 08:00:00;32.639;33.852;95.235;29.212
2010-01-04 09:00:00;35.875;38.034;108.95;32.33
